project_name,buyer_name,seller_name,package_type,equipment_types,component_types,component_count,lead_time_weeks,manufacturer,cost,answer_date
"Marsh & McLennan, 1166 AoA Re-stack - Floor 23",Structure Tone (NY),ADE Systems Inc. (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",3,3,"[""Greenheck""]",3200,2025-01-27
Project Hank Retail - Shaver Hall,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",2,8,"[""Twin City Fan""]",13390,2025-01-27
SSUH - Boiler and Chiller Plant Replacement (52100495es),LF Driscoll Healthcare,EJS,"[""Dedicated Outdoor-Air Units""]","[""Dedicated Outdoor-Air Units""]","[""Dedicated Outdoor-Air Units""]",1,1,"[""Haakon (basis of design)""]",830000,2025-01-24
SSUH - Boiler and Chiller Plant Replacement (52100495es),LF Driscoll Healthcare,Mechanical Technologies LLC (New York),"[""Dedicated Outdoor-Air Units""]","[""Dedicated Outdoor-Air Units""]","[""Dedicated Outdoor-Air Units""]",1,15,"[""TMI Climate Solutions""]",798750,2025-01-24
(BGO) 313 Congress - 5th Floor Spec Suite,Structure Tone (NY),DNT Enterprises (New York),"[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]",18,11,"[""Florida Heat Pump""]",62004.31,2025-01-24
SSUH - Boiler and Chiller Plant Replacement (52100495es),LF Driscoll Healthcare,Ascent,"[""Dedicated Outdoor-Air Units""]","[""Dedicated Outdoor-Air Units""]","[""Dedicated Outdoor-Air Units""]",1,5,"[""Robatherm""]",637500,2025-01-24
Fidelity Investor Center - NYC - 320 Park Avenue - Relocation,Structure Tone (NY),DNT Enterprises (New York),"[""Water-Source Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Heat Pumps"",""Water-Source Unitary Heat Pumps""]",2,11,"[""Florida Heat Pump""]",6303.86,2025-01-24
"Annaly Capital - 1211 AOA , 41st Floor",Structure Tone (NY),DNT Enterprises (New York),"[""Self-Contained Air Conditioners""]","[""Water-Source Unitary Heat Pumps""]","[""Self-Contained Air Conditioners"",""Water-Source Unitary Heat Pumps""]",7,13,"[""Florida Heat Pump""]",63964.06,2025-01-24
SSUH - Boiler and Chiller Plant Replacement (52100495es),LF Driscoll Healthcare,Gil Bar Inc (New York),"[""Water-Cooled Centrifugal Water Chillers""]","[""Water-Cooled Centrifugal Water Chillers""]","[""Water-Cooled Centrifugal Water Chillers""]",6,18,"[""York""]",1863000,2025-01-23
Sacred Heart University West Campus - East Building Fairfield Ct,Pavarini North East Construction Co LLC,Gil Bar Inc (New York),"[""Air-Cooled Scroll Water Chillers""]","[""Air-Cooled Scroll Water Chillers""]","[""Air-Cooled Scroll Water Chillers""]",5,2,"[""York""]",622500,2025-01-22
Fidelity Investor Center - NYC - 320 Park Avenue - Relocation,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,4,"[""Twin City Fan""]",2520,2025-01-21
NYAC Solarium Project,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",7,8,"[""Twin City Fan""]",92000,2025-01-21
680 5th Avenue Amenity Areas ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Unit Heaters""]","[""Unit Heaters""]","[""Unit Heaters""]",8,6,"[""Indeeco""]",11100,2025-01-20
Vornado- One Park Ave. 19th & 20th Fl. Whitebox,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",4,4,"[""Twin City Fan""]",9710,2025-01-20
"Marsh & McLennan, 1166 AoA Re-stack - Floor 23",Structure Tone (NY),DNT Enterprises (New York),"[""Water-Source Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Heat Pumps"",""Water-Source Unitary Heat Pumps""]",2,12,"[""Florida Heat Pump""]",19570.28,2025-01-17
ReWorld - Headquarters 1st and 3rd Floor,Structure Tone (NY),Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",1,10,"[""Vertiv""]",21250,2025-01-17
680 5th Avenue Amenity Areas ,Structure Tone (NY),Air Control Concepts,"[""Variable Refrigerant Flow Systems""]","[""Fan Coil Units"",""Split System Air Conditioners"",""Variable Refrigerant Flow Systems""]","[""Fan Coil Units"",""Split System Air Conditioners"",""Variable Refrigerant Flow Systems""]",14,8,"[""LG""]",89000,2025-01-16
Project Hank Retail - Shaver Hall,Structure Tone (NY),Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",1,1,"[""Vertiv""]",50750,2025-01-16
BRG - 810 7th Ave - Floors 39-41 - Bid,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Diffusers, Registers, and Grilles""]","[""Ductwork Specialties ""]","[""Diffusers, Registers, and Grilles"",""Ductwork Specialties ""]",1,6,[],25800,2025-01-16
BRG - 810 7th Ave - Floors 39-41 - Bid,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",7,4,[],3135,2025-01-16
NYAC Solarium Project,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",7,12,"[""Loren Cook""]",38000,2025-01-16
Project Hank Retail - Shaver Hall,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",2,6,"[""PennBarry""]",6007,2025-01-16
Project Hank Retail - Shaver Hall,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Diffusers, Registers, and Grilles""]","[""Ductwork Specialties ""]","[""Diffusers, Registers, and Grilles"",""Ductwork Specialties ""]",1,6,"[""Anemostat""]",34300,2025-01-16
BRG - 810 7th Ave - Floors 39-41 - Bid,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]",1,7,[],5200,2025-01-16
Project Hank Retail - Shaver Hall,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Air Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units""]",1,7,"[""Anemostat""]",26100,2025-01-16
Bulletin Building Food Hall,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,20,"[""Loren Cook""]",900,2025-01-15
680 5th Avenue Amenity Areas ,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""Unit Heaters""]","[""Unit Heaters""]","[""Unit Heaters""]",8,4,"[""Thermolec""]",8000,2025-01-14
